County,Year,Population,Median Income,Poverty Rate,Unemployment Rate,Uninsured Rate,Cost Burdern Rate
"Alameda County, California",2018,"1,666,756","$92,574.00",10.60%,2.90%,5.10%,0.309
"Alameda County, California",2019,"1,671,329","$99,406.00",9.90%,2.80%,4.40%,0.312
"Alameda County, California",2020,"1,680,614","$104,888.00",9.30%,8.50%,4.30%,0.315
"Alameda County, California",2021,"1,643,856","$112,017.00",8.90%,5.90%,4.30%,0.318
"Alameda County, California",2022,"1,635,693","$122,488.00",9.20%,3.20%,4.00%,0.321
"Alameda County, California",2023,"1,638,142","$126,240.00",9.20%,3.80%,4.10%,0.325
"Alpine County, California",2018,"1,089","$64,688.00",19.80%,6.40%,10.30%,0.273
"Alpine County, California",2019,"1,129","$63,750.00",19.70%,7.20%,8.90%,0.276
"Alpine County, California",2020,"1,179","$85,750.00",12.00%,15.60%,7.60%,0.279
"Alpine County, California",2021,"1,203","$96,000.00",12.90%,11.50%,6.60%,0.281
"Alpine County, California",2022,"1,169","$101,125.00",13.70%,8.10%,6.40%,0.284
"Alpine County, California",2023,"1,126","$110,781.00",12.30%,8.10%,5.00%,0.287
"Amador County, California",2018,"39,405","$61,198.00",9.70%,4.10%,4.20%,0.287
"Amador County, California",2019,"39,752","$62,772.00",9.90%,4.00%,4.70%,0.29
"Amador County, California",2020,"40,584","$65,187.00",8.10%,9.40%,5.10%,0.293
"Amador County, California",2021,"41,245","$69,955.00",7.90%,7.10%,4.70%,0.296
"Amador County, California",2022,"41,486","$74,853.00",7.80%,4.60%,4.80%,0.298
"Amador County, California",2023,"41,798","$81,526.00",7.80%,5.10%,5.90%,0.301
"Butte County, California",2018,"230,339","$48,443.00",20.10%,5.10%,7.40%,0.335
"Butte County, California",2019,"219,186","$52,537.00",19.10%,5.20%,6.20%,0.339
"Butte County, California",2020,"210,222","$54,972.00",18.20%,9.50%,6.00%,0.343
"Butte County, California",2021,"206,351","$59,863.00",17.70%,6.90%,6.40%,0.347
"Butte County, California",2022,"207,384","$66,085.00",18.20%,4.60%,6.60%,0.351
"Butte County, California",2023,"207,354","$68,574.00",18.30%,5.20%,6.40%,0.356
"Calaveras County, California",2018,"45,698","$58,151.00",11.70%,5.20%,5.20%,0.282
"Calaveras County, California",2019,"45,905","$63,158.00",11.40%,4.90%,4.40%,0.285
"Calaveras County, California",2020,"45,350","$67,054.00",11.40%,9.80%,5.30%,0.288
"Calaveras County, California",2021,"46,262","$70,119.00",14.10%,7.30%,6.60%,0.291
"Calaveras County, California",2022,"46,544","$77,526.00",13.10%,4.70%,5.80%,0.294
"Calaveras County, California",2023,"46,580","$79,877.00",13.40%,5.20%,5.30%,0.298
"Colusa County, California",2018,"21,418","$56,704.00",13.80%,12.80%,10.30%,0.314
"Colusa County, California",2019,"21,547","$59,401.00",13.00%,12.50%,9.80%,0.318
"Colusa County, California",2020,"21,868","$59,427.00",11.90%,15.90%,8.50%,0.321
"Colusa County, California",2021,"21,931","$61,861.00",13.00%,12.20%,8.40%,0.325
"Colusa County, California",2022,"21,952","$69,619.00",10.90%,11.30%,9.10%,0.329
"Colusa County, California",2023,"22,093","$75,149.00",10.80%,12.40%,9.00%,0.334
"Contra Costa County, California",2018,"1,150,519","$93,712.00",9.10%,3.10%,5.70%,0.293
"Contra Costa County, California",2019,"1,153,526","$99,716.00",8.70%,3.00%,5.10%,0.296
